City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,13.8,scattered clouds
290,Santarem,BR,-2.4431,-54.7083,86.13,74,20,4.61,few clouds
291,Half Moon Bay,US,37.4636,-122.4286,85.41,66,75,18.41,broken clouds
292,Uray,RU,60.1247,64.7758,66.2,83,64,5.17,broken clouds
293,Turbat,PK,26.0023,63.044,87.31,73,100,2.17,overcast clouds
294,Poronaysk,RU,49.2167,143.1167,57.18,90,100,4.56,overcast clouds
295,Derzhavinsk,KZ,51.1,66.3167,69.03,70,0,8.34,clear sky
296,Mantua,IT,45.1667,10.7833,78.04,72,38,1.99,scattered clouds
297,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,86,0,3.44,clear sky
298,Kota Tinggi,MY,1.7381,103.8999,82.4,96,58,1.41,broken clouds
299,Madras,IN,13.0878,80.2785,82.38,83,75,8.05,mist
300,Xingcheng,CN,40.6167,120.7167,72.03,79,1,5.57,clear sky
301,Pisco,PE,-13.7,-76.2167,66.25,68,0,19.57,clear sky
302,Upata,VE,8.0086,-62.3989,84.2,82,98,5.17,overcast clouds
303,Mafinga,TZ,-7.25,35.0667,62.83,55,3,2.93,clear sky
304,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,87,76,11.14,broken clouds
305,Grindavik,IS,63.8424,-22.4338,49.95,81,75,13.8,broken clouds
306,Vanderhoof,CA,54.0166,-124.0198,68.58,30,78,10.4,broken clouds
307,Ossora,RU,59.2353,163.0719,70.77,67,23,3.4,few clouds
308,Rio Grande,BR,-32.035,-52.0986,51.91,80,0,15.1,clear sky
309,Phuket,TH,8.0,98.25,84.09,89,20,3.44,few clouds
310,Tanout,NE,14.9709,8.8879,95.29,17,90,4.65,overcast clouds
311,Marawi,PH,7.9986,124.2928,68.13,93,23,1.97,few clouds
312,Maniitsoq,GL,65.4167,-52.9,44.24,86,24,12.39,few clouds
313,Jaisalmer,IN,26.9147,70.9181,88.09,61,91,9.46,overcast clouds
314,Dombarovskiy,RU,50.7587,59.5386,73.0,51,57,10.09,broken clouds
315,Moshkovo,RU,55.3053,83.6104,50.58,68,46,2.35,scattered clouds
316,Wismar,DE,53.9,11.4667,62.2,77,5,5.01,clear sky
317,Hualmay,PE,-11.0964,-77.6139,63.59,76,15,11.59,few clouds
318,Port Elizabeth,ZA,-33.918,25.5701,59.29,65,0,14.97,clear sky
319,Aykhal,RU,66.0,111.5,47.59,79,55,7.16,broken clouds
320,Praia,CV,14.9215,-23.5087,75.74,78,20,14.97,few clouds
321,Meulaboh,ID,4.1363,96.1285,76.42,90,85,6.46,overcast clouds
322,Kaoma,ZM,-14.7833,24.8,52.57,65,0,6.64,clear sky
323,Mayo,US,38.8876,-76.5119,92.35,65,30,3.0,scattered clouds
324,Kula,TR,38.5473,28.6498,65.61,58,0,3.42,clear sky
325,Oistins,BB,13.0667,-59.5333,84.29,65,20,19.57,few clouds
326,Balsas,BR,-7.5325,-46.0356,83.34,34,38,4.16,scattered clouds
327,Bafq,IR,31.6128,55.4107,80.13,19,0,4.99,clear sky
328,Port-Gentil,GA,-0.7193,8.7815,75.16,83,20,11.5,few clouds
329,North Bend,US,43.4065,-124.2243,73.92,75,0,23.02,clear sky
330,Beyneu,KZ,45.3167,55.2,86.56,27,0,12.97,clear sky
331,Andros Town,BS,24.7,-77.7667,87.76,66,100,13.42,overcast clouds
332,Avera,US,33.194,-82.5271,84.38,79,100,10.76,overcast clouds
333,Gazli,UZ,40.1333,63.45,85.59,22,0,11.36,clear sky
334,Roxana,CR,10.2753,-83.7513,81.03,92,100,2.37,overcast clouds
335,Nara,JP,34.6851,135.8049,77.5,66,100,0.47,light rain
336,Hithadhoo,MV,-0.6,73.0833,83.46,73,97,12.86,overcast clouds
337,Tecoanapa,MX,16.5167,-98.75,84.97,68,100,7.23,overcast clouds
338,Chifeng,CN,42.2683,118.9636,68.95,58,1,6.98,clear sky
339,Mount Isa,AU,-20.7333,139.5,49.77,57,0,11.5,clear sky
340,Paamiut,GL,61.994,-49.6678,43.0,84,90,6.46,overcast clouds
341,Msanga,TZ,-6.05,36.0333,60.93,64,9,3.38,clear sky
342,Kandrian,PG,-6.2167,149.55,81.57,78,16,9.35,few clouds
343,Souillac,MU,-20.5167,57.5167,68.74,78,74,13.15,light rain
